index,file,frame,px,long_px,score,share_of_frame,oracle_surface,corners,verdict
114,005035,2647,74,115,0.823,0.00463,none,"1402,1094 1395,979 1468,975 1475,1090",none
115,005035,2647,108,172,0.751,0.01287,none,"499,1151 331,1116 353,1011 521,1046",none
116,005035,2647,62,116,0.727,0.00344,none,"339,235 223,235 223,173 339,173",text
117,005035,2647,66,72,0.68,0.00458,none,"1397,886 1346,835 1393,788 1444,839",none
118,005035,2647,42,58,0.656,0.00117,none,"326,226 269,226 269,184 326,184",text
119,005035,2911,48,48,0.647,0.00113,none,"821,365 772,365 772,317 821,317",none
120,005035,3176,56,64,0.799,0.00171,none,"161,527 105,527 105,463 161,463",none
121,005035,3176,13,46,0.716,0.00064,none,"602,242 558,226 563,214 606,230",none
122,005035,3705,50,73,0.795,0.0022,none,"218,571 209,499 258,493 267,565",none
123,005035,3705,54,58,0.714,0.00151,screen,"469,672 411,672 411,618 469,618",none
